curvature,strokewidth,density,x,y,w,h,distance,curvature_LogValue,strokewidth_LogValue,distance_LogValue,density_LogValue,class
0.007749728,31.1877261,48.62890625,103,0,11,52,7,-4.860097533,3.440024623,1.945910149,3.884218133,1
0.174873399,29.31558128,78.22265625,0,0,47,65,10,-1.743693001,3.378119159,2.302585093,4.359559327,1
0.001242928,28.14306405,51.2109375,113,0,32,45,12,-6.690285393,3.337300932,2.48490665,3.935953132,1
0.291718784,26.62949525,11.67578125,0,0,21,49,0,-1.231965009,3.282019445,#NAME?,2.457516718,1
0.031387553,19.19990148,12.26171875,0,0,14,33,10,-3.461343866,2.954905148,2.302585093,2.506482112,1
0.001355155,128.8802754,128,0,0,510,64,0,-6.60383944,4.858883876,#NAME?,4.852030264,1
0.010203265,26.30046021,10.5625,23,0,27,52,0,-4.585047512,3.269586438,#NAME?,2.357309993,1
0.10614427,30.8352288,31.171875,93,0,21,52,5,-2.242956073,3.428657829,1.609437912,3.439516246,1
0.071360569,46.81866533,58.45703125,167,0,18,50,23,-2.640009817,3.846281955,3.135494216,4.068291976,1
0.152831544,36.54293601,74.51171875,0,0,44,55,54,-1.878418984,3.598487898,3.988984047,4.310956412,1
0.09176083,27.98417863,133.6289063,0,0,32,79,102,-2.388569761,3.331639302,4.624972813,4.895066602,1
0.254581492,39.21705777,32.34375,0,0,12,61,11,-1.36813429,3.669111799,2.397895273,3.476420803,1
0.094665744,26.95756264,28.79296875,0,0,25,44,19,-2.357403076,3.294263875,2.944438979,3.360131217,1
0.276577539,30.91834882,35.8359375,0,0,70,66,0,-1.285264067,3.431349821,#NAME?,3.578951231,1
0.084978908,23.39748167,74.5078125,151,0,34,102,0,-2.465352194,3.152628396,#NAME?,4.310903986,1
0.075280229,33.99214744,40.33203125,63,0,7,50,9,-2.586537742,3.52612954,2.197224577,3.697145973,1
0.170847485,40.70125226,77.4375,121,0,45,89,29,-1.766984021,3.70625886,3.36729583,4.349471159,1
0.173835428,42.37183651,62.765625,103,0,47,74,4,-1.749646243,3.746483908,1.386294361,4.139407551,1
0.321392276,32.68616137,50.6953125,37,0,71,73,30,-1.135092858,3.486951789,3.401197382,3.925833451,1
0.42725235,28.48380927,78.93359375,0,0,11,50,71,-0.850380457,3.34933583,4.262679877,4.368606914,1
0.118568197,28.95601089,37.578125,25,0,34,61,4,-2.132266982,3.365777813,1.386294361,3.626422099,1
